machine_id,n_samples,positives,roc_auc,avg_precision,tn,fp,fn,tp
machine_20,1995,0,,,,,,
machine_24,1995,0,,,,,,
machine_26,1995,5,0.9459296482412061,0.028734827264239027,1990.0,0.0,5.0,0.0
machine_31,1995,5,0.9953768844221106,0.39302101407364565,1990.0,0.0,5.0,0.0
machine_32,1995,0,,,,,,
machine_36,1995,5,0.9377386934673366,0.02350241224273467,1990.0,0.0,5.0,0.0
machine_38,1995,5,0.997788944723618,0.5227272727272727,1990.0,0.0,5.0,0.0
machine_44,1995,5,0.9981909547738693,0.46904761904761905,1990.0,0.0,5.0,0.0
machine_5,1995,5,0.9989949748743718,0.6944444444444444,1990.0,0.0,5.0,0.0
machine_8,1995,5,0.9987939698492463,0.6444444444444444,1990.0,0.0,5.0,0.0
